-4.000 	 16.000
-3.900 	 15.210
-3.800 	 14.440
-3.700 	 13.690
-3.600 	 12.960
-3.500 	 12.250
-3.400 	 11.560
-3.300 	 10.890
-3.200 	 10.240
-3.100 	 9.610
-3.000 	 9.000
-2.900 	 8.410
-2.800 	 7.840
-2.700 	 7.290
-2.600 	 6.760
-2.500 	 6.250
-2.400 	 5.760
-2.300 	 5.290
-2.200 	 4.840
-2.100 	 4.410
-2.000 	 4.000
-1.900 	 3.610
-1.800 	 3.240
-1.700 	 2.890
-1.600 	 2.560
-1.500 	 2.250
-1.400 	 1.960
-1.300 	 1.690
-1.200 	 1.440
-1.100 	 1.210
-1.000 	 1.000
-0.900 	 0.810
-0.800 	 0.640
-0.700 	 0.490
-0.600 	 0.360
-0.500 	 0.250
-0.400 	 0.160
-0.300 	 0.090
-0.200 	 0.040
-0.100 	 0.010
0.000 	 0.000
0.100 	 0.010
0.200 	 0.040
0.300 	 0.090
0.400 	 0.160
0.500 	 0.250
0.600 	 0.360
0.700 	 0.490
0.800 	 0.640
0.900 	 0.810
1.000 	 1.000
1.100 	 1.210
1.200 	 1.440
1.300 	 1.690
1.400 	 1.960
1.500 	 2.250
1.600 	 2.560
1.700 	 2.890
1.800 	 3.240
1.900 	 3.610
2.000 	 4.000
2.100 	 4.410
2.200 	 4.840
2.300 	 5.290
2.400 	 5.760
2.500 	 6.250
2.600 	 6.760
2.700 	 7.290
2.800 	 7.840
2.900 	 8.410
3.000 	 9.000
3.100 	 9.610
3.200 	 10.240
3.300 	 10.890
3.400 	 11.560
3.500 	 12.250
3.600 	 12.960
3.700 	 13.690
3.800 	 14.440
3.900 	 15.210
4.000 	 16.000
